Entity,Code,Year,"Air pollution (total) (deaths per 100,000)","Indoor air pollution (deaths per 100,000)","Outdoor particulate matter (deaths per 100,000)","Outdoor ozone pollution (deaths per 100,000)"
United Kingdom,GBR,1991,41.47873941,3.327142133,36.57718968,1.906045293
United Kingdom,GBR,1992,40.19480737,2.916762691,35.71726296,1.886821247
United Kingdom,GBR,1993,40.24705017,2.651154931,36.00492044,1.920509352
United Kingdom,GBR,1994,38.23024989,2.272285678,34.41921893,1.854962195
United Kingdom,GBR,1995,37.85832216,2.047540907,34.24716913,1.882384294
United Kingdom,GBR,1996,36.64872974,1.839076128,33.26406859,1.858759069
United Kingdom,GBR,1997,35.29215613,1.630709183,32.12756412,1.842683177
United Kingdom,GBR,1998,34.33153163,1.460607587,31.33328448,1.845015684
United Kingdom,GBR,1999,33.19501646,1.30210772,30.33962435,1.861521322
United Kingdom,GBR,2000,31.37265006,1.127033621,28.71692416,1.83053553
United Kingdom,GBR,2001,29.86994371,0.991930777,27.35450783,1.824068032
United Kingdom,GBR,2002,29.26017491,0.901997886,26.8088486,1.854651268
United Kingdom,GBR,2003,28.47111099,0.804579056,26.0998316,1.875056196
United Kingdom,GBR,2004,26.56014943,0.691854891,24.36045754,1.803834285
United Kingdom,GBR,2005,25.37123494,0.612146506,23.2683115,1.782586071
United Kingdom,GBR,2006,24.63748506,0.552330453,22.60343956,1.771303985
United Kingdom,GBR,2007,23.62840124,0.49285601,21.6765132,1.743361173
United Kingdom,GBR,2008,23.08224874,0.450544262,21.17013938,1.745393341
United Kingdom,GBR,2009,21.89920523,0.399996301,20.07931027,1.694424667
United Kingdom,GBR,2010,21.11727111,0.363299386,19.34601978,1.678694258
United Kingdom,GBR,2011,20.82221655,0.324625725,19.10906918,1.662924203
United Kingdom,GBR,2012,19.48783946,0.309120079,17.77326263,1.667637094
United Kingdom,GBR,2013,19.2890876,0.294170177,17.55855911,1.700365319
United Kingdom,GBR,2014,18.0844112,0.277115071,16.38493618,1.670381119
United Kingdom,GBR,2015,18.24392724,0.268776901,16.50907917,1.720378499
United Kingdom,GBR,2016,17.89133734,0.259137335,16.14594918,1.738131251
United Kingdom,GBR,2017,17.78370015,0.248832546,16.04766925,1.738457585
Scotland,,1994,37.80082006,7.004106983,29.19136376,1.870151906
Scotland,,1995,36.50759541,6.190212908,28.66828318,1.916143985
Scotland,,1996,36.09929649,5.668534282,28.72485936,1.979289021
Scotland,,1997,34.2927975,4.929863265,27.64746756,1.986719367
Scotland,,1998,33.09398,4.410733702,26.93391583,2.021873255
Scotland,,1999,32.49710474,3.947045794,26.72839141,2.101525868
Scotland,,2000,29.9695191,3.314405229,24.88180793,2.042437358
Scotland,,2001,29.11542472,2.939894374,24.40199683,2.043159233
Scotland,,2002,28.73404797,2.679665867,24.25400062,2.074620217
Scotland,,2003,27.81960041,2.347895184,23.67489298,2.070616763
Scotland,,2004,26.29566973,2.020299241,22.53870874,2.000908807
Scotland,,2005,25.04591558,1.785911963,21.55561865,1.962465863
Scotland,,2006,24.8635275,1.638726228,21.50506711,1.980678063
Scotland,,2007,24.11623035,1.440474197,20.9743855,1.959174185
Scotland,,2008,23.44951068,1.310331849,20.45071904,1.943456279
Scotland,,2009,21.98237325,1.140520522,19.21631782,1.869559922
Scotland,,2010,21.16901321,1.025465409,18.53645185,1.846105114
Scotland,,2011,21.24518885,0.926035719,18.70558696,1.860914301
Scotland,,2012,19.60974883,0.866327949,17.11428116,1.86303168
Scotland,,2013,18.68121837,0.817899867,16.20270826,1.887132983
Scotland,,2014,17.43517477,0.734035116,15.05552333,1.85976836
Scotland,,2015,17.47829991,0.717759919,15.04748405,1.932571109
Scotland,,2016,16.65189759,0.681228511,14.21278698,1.966439884
